benchmark,method,budget,seed,best_capability,hypervolume,hypervolume_regret,eps_pareto_hit,evals_to_threshold,auc_best_capability
gsm8k,enss,24,11,0.62,0.5475529345117318,0.00022982214511368948,1,8,0.5879166666666663
gsm8k,enss,24,12,0.59,0.5161586936693382,0.031624062987507306,0,,0.5637499999999999
gsm8k,enss,24,13,0.62,0.5471793555032312,0.0006034011536143469,1,19,0.5566666666666663
gsm8k,enss,24,14,0.62,0.5462739553119813,0.0015088013448641968,1,6,0.6074999999999997
gsm8k,enss,24,15,0.62,0.5464097864497852,0.0013729702070602867,1,14,0.5491666666666664
gsm8k,enss,24,16,0.62,0.5471505015848438,0.0006322550720017084,1,4,0.6112499999999997
gsm8k,enss,24,17,0.62,0.5455806894310433,0.0022020672258021845,1,1,0.6199999999999997
gsm8k,enss,24,18,0.62,0.5452898483374675,0.0024929083193779844,1,11,0.580833333333333
gsm8k,enss,24,19,0.62,0.5476275925014304,0.00015516415541505513,1,4,0.5858333333333331
gsm8k,enss,36,0,0.62,0.5475510515671383,0.00023170508970715709,1,5,0.6069444444444445
gsm8k,enss,36,1,0.62,0.5477812280081341,1.528648711390801e-06,1,22,0.5552777777777776
gsm8k,enss,36,2,0.62,0.5469874809982396,0.0007952756586059317,1,18,0.5852777777777778
gsm8k,enss,36,3,0.62,0.5477827566568455,0.0,1,16,0.5680555555555554
gsm8k,enss,36,4,0.62,0.5477812280081341,1.528648711390801e-06,1,30,0.568055555555556
gsm8k,enss,36,5,0.56,0.4962152572852827,0.0515674993715628,0,,0.5313888888888889
gsm8k,enss,36,6,0.62,0.5477827566568455,0.0,1,17,0.5877777777777778
gsm8k,enss,36,7,0.62,0.5473750766197607,0.00040768003708480105,1,21,0.5755555555555557
gsm8k,enss,36,8,0.62,0.5477827566568455,0.0,1,8,0.5977777777777777
gsm8k,enss,36,9,0.62,0.5477827566568455,0.0,1,1,0.62
gsm8k,enss,36,10,0.62,0.5475874246573673,0.0001953319994781877,1,26,0.5597222222222223
gsm8k,enss,36,11,0.62,0.5477182652800813,6.449137676423078e-05,1,8,0.598611111111111
gsm8k,enss,36,12,0.62,0.5477827566568455,0.0,1,23,0.5841666666666667
gsm8k,enss,36,13,0.62,0.5475510515671383,0.00023170508970715709,1,19,0.5777777777777777
gsm8k,enss,36,14,0.62,0.5475889533060787,0.0001938033507667969,1,6,0.6116666666666667
gsm8k,enss,36,15,0.62,0.5469995305557673,0.0007832261010781716,1,14,0.5727777777777777
gsm8k,enss,36,16,0.62,0.5476273518821347,0.00015540477471076564,1,4,0.6141666666666666
gsm8k,enss,36,17,0.62,0.5477812280081341,1.528648711390801e-06,1,1,0.62
gsm8k,enss,36,18,0.62,0.5475510515671383,0.00023170508970715709,1,11,0.5938888888888889
gsm8k,enss,36,19,0.62,0.5477827566568455,0.0,1,4,0.5972222222222222
gsm8k,enss,48,0,0.62,0.5477827566568455,0.0,1,5,0.6102083333333336
gsm8k,enss,48,1,0.62,0.5477827566568455,0.0,1,22,0.5714583333333335
gsm8k,enss,48,2,0.62,0.5477827566568455,0.0,1,18,0.5939583333333336
gsm8k,enss,48,3,0.62,0.5477827566568455,0.0,1,16,0.5810416666666668
gsm8k,enss,48,4,0.62,0.5477827566568455,0.0,1,30,0.5810416666666672
gsm8k,enss,48,5,0.62,0.5477827566568455,0.0,1,36,0.554791666666667
gsm8k,enss,48,6,0.62,0.5477827566568455,0.0,1,17,0.5958333333333337
gsm8k,enss,48,7,0.62,0.5477827566568455,0.0,1,21,0.586666666666667
gsm8k,enss,48,8,0.62,0.5477827566568455,0.0,1,8,0.6033333333333336
gsm8k,enss,48,9,0.62,0.5477827566568455,0.0,1,1,0.6200000000000002
gsm8k,enss,48,10,0.62,0.5477827566568455,0.0,1,26,0.574791666666667
gsm8k,enss,48,11,0.62,0.5477827566568455,0.0,1,8,0.6039583333333335
gsm8k,enss,48,12,0.62,0.5477827566568455,0.0,1,23,0.5931250000000002
gsm8k,enss,48,13,0.62,0.5477827566568455,0.0,1,19,0.5883333333333335
gsm8k,enss,48,14,0.62,0.5477827566568455,0.0,1,6,0.6137500000000002
gsm8k,enss,48,15,0.62,0.5477827566568455,0.0,1,14,0.5845833333333336
gsm8k,enss,48,16,0.62,0.5477827566568455,0.0,1,4,0.6156250000000002
gsm8k,enss,48,17,0.62,0.5477827566568455,0.0,1,1,0.6200000000000002
gsm8k,enss,48,18,0.62,0.5477827566568455,0.0,1,11,0.6004166666666669
gsm8k,enss,48,19,0.62,0.5477827566568455,0.0,1,4,0.6029166666666669
gsm8k,random,12,0,0.53,0.46453635520115466,0.08324640145569084,0,,0.5191666666666668
gsm8k,random,12,1,0.59,0.516793363148838,0.030989393508007557,0,,0.5424999999999999
gsm8k,random,12,2,0.59,0.5114077620244467,0.036374994632398794,0,,0.5358333333333333
gsm8k,random,12,3,0.62,0.5443311469239532,0.003451609732892269,1,10,0.5141666666666668
gsm8k,random,12,4,0.59,0.5148423330105134,0.032940423646332095,0,,0.5566666666666668
gsm8k,random,12,5,0.62,0.5444734356657129,0.0033093209911325694,1,11,0.5433333333333333
