config,benchmark,cap_1.5B,cap_7B,delta_pp
A_gsm,gsm8k,0.5185,0.8597,34.12
A_gsm,pubmedqa,0.4900,0.6475,15.75
A_gsm,qasper,0.1878,0.1879,0.01
A_pubmed,gsm8k,0.0968,0.1468,5.00
A_pubmed,pubmedqa,0.3725,0.4875,11.50
A_pubmed,qasper,0.1106,0.0064,-10.42
A_qasper,gsm8k,0.2084,0.1961,-1.23
A_qasper,pubmedqa,0.5625,0.5775,1.50
A_qasper,qasper,0.1379,0.0064,-13.15
fixed_hybrid,gsm8k,0.2116,0.5357,32.41
fixed_hybrid,pubmedqa,0.5550,0.5350,-2.00
fixed_hybrid,qasper,0.1330,0.0064,-12.66
fixed_mamba2,gsm8k,0.2158,0.6932,47.74
fixed_mamba2,pubmedqa,0.5975,0.5425,-5.50
fixed_mamba2,qasper,0.1757,0.0081,-16.76
fixed_recency,gsm8k,0.2289,0.5406,31.17
fixed_recency,pubmedqa,0.5525,0.6025,5.00
fixed_recency,qasper,0.1245,0.0116,-11.29
fixed_retrieval,gsm8k,0.1862,0.5242,33.80
fixed_retrieval,pubmedqa,0.5725,0.5600,-1.25
fixed_retrieval,qasper,0.1305,0.0149,-11.56
no_memory,gsm8k,0.5193,0.7342,21.49
no_memory,pubmedqa,0.3625,0.5775,21.50
no_memory,qasper,0.2014,0.2142,1.28
